Data,Labels
got high from this stuff,1
The shaman guided them through a peyote ceremony,1
I will prefer a peace pill over a chill pill,1
Crack is dangerous if misused.,1
I'm planning to buy some amphetamine.,1
High demand for DMT lately; get yours now.,1
Amy was talking about trying amphetamine.,1
I heard she got her hands on some crack.,1
Nose candy is not the same as crack.,1
lol i love candy too,0
Anyone else using cocaine for a boost?,1
Methadone is good hit bro,1
Nose candy is becoming popular at certain events.,1
Synthetic cathinones are making waves in the scene,1
I’ve heard nitrous is sometimes used recreationally at events,1
His coding addiction started in college and spiraled out of control,0
I got some meth want some?,1
I like to do Meth,1
Crystal Meth is hard for me to get man,1
salt is essential for your diet,0
He is a drug addict,0
He kept a stash of microdot for special occasions,1
Do you know where to find some cocaine?,1
A shrooms trip can vary greatly depending on the environment and mindset,1
Steriods helps to create peak male physique my man,1
Got DMT for sale—DM if interested!,1
Lorcet is renewed in stock get some now,1
I need a prescription for my medication.,1
Morphine has a high potential for addiction,0
"Be careful with laughing gas, it can be dangerous if overused",1
Need some new Dimitri-themed decor for the office?,1
She had intense visuals after taking mushrooms,1
"PCP, or angel dust, is a hallucinogenic drug known for its dissociative effects",0
clip that insane shit bro,0
The use of hikuli is often ceremonial and guided by tradition,0
Craving that amphetamine high?,1
be ready for tommorrow,0
I'm planning to buy some amphetamine.,1
Craving that amphetamine high?,1
Selling high-quality DMT—message me for details.,1
Cocaine addiction is a serious issue; be aware.,1
Murder 8 more like mudered me last night lol,1
Just a reminder to use diet pills responsibly!,1
Can you hook me up with some blow?,1
Mushies hit you faster on an empty stomach,1
I need pep pills to stay up all night.,1
Wake-ups are a necessity for late-night study sessions.,1
join me tommorrow for some molly,1
Love the view out there,0
Anyone else using cocaine for a boost?,1
"They had nitrous at the rave, everyone was laughing uncontrollably",1
Nice to know you,0
Percocet is used for moderate to severe pain relief,0
"Nose candy can be fun for decorating, but watch out for misuse!",1
Uppers is what i live for,1
Someone offered me bennies at the concert.,1
Bro is dripped out,0
Heard Amy got her hands on some bennies.,1
Molly is my name,0
find me this book,0
Ritalin takes away peoples' lives ,0
Percocet is funky bro,1
Xanax helps me deal with the stress,0
He thought he could handle mexican brown but quickly became addicted,0
The doctor recommended Exalgo for consistent pain control,0
he was not caughth  by selling anything,0
Many over-the-counter painkillers contain acetaminophen,0
Just picked up some diet pills to help with my fitness goals.,1
Speeding kills,0
Diet pills and their side effects are all over my feed.,1
Some users refer to Klonopin as super valium,1
i like to do Ritalin,1
I skipped my breakfast,0
Do you know where to find some cocaine?,1
I just need a wake-up call for the morning.,1
The hikuli plant is central to their spiritual practices,1
It's easy to get bennies on the black market.,1
I like to study maths,0
insert the table over the right hand side,0
can you tell me a joke,0
Buzz bomb is an old term sometimes used for fireworks,0
